CleanedRegulatedEntityId,RegulatedEntityId,CleanedRegulatedEntityName,PartyName,PartyId,Political Leaning,Special Interest
1288,1288,Simon Burns,Conservative And Unionist Party,52,Political Party,Great Britain
6668,6668,Simon Clarke,Conservative And Unionist Party,52,Political Party,Great Britain
4095,4095,Simon Hart,Conservative And Unionist Party,52,Political Party,Great Britain
6552,6552,Simon Hoare,Conservative And Unionist Party,52,Political Party,Great Britain
1452,1452,Simon Kirby,Conservative And Unionist Party,52,Political Party,Great Britain
1779,1779,Simon Reevell,Conservative And Unionist Party,52,Political Party,Great Britain
10235,10235,Siobhan Baillie,Conservative And Unionist Party,52,Political Party,Great Britain
1534,1534,Stephen Barclay,Conservative And Unionist Party,52,Political Party,Great Britain
1444,1444,Stephen Crabb,Conservative And Unionist Party,52,Political Party,Great Britain
2250,2250,Stephen Dorrell,Conservative And Unionist Party,52,Political Party,Great Britain
1575,1575,Stephen Hammond,Conservative And Unionist Party,52,Political Party,Great Britain
